BHK,Size,Bathroom,Area Type_Built Area,Area Type_Carpet Area,Area Type_Super Area,City_Bangalore,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Furnishing Status_Furnished,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Tenant Preferred_Bachelors,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family,Point of Contact_Contact Agent,Point of Contact_Contact Builder,Point of Contact_Contact Owner
3,1600,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
2,736,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
1,300,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
1,200,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
3,1400,3,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
2,900,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
2,1000,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
2,750,2,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2,600,2,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2,650,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
2,500,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
1,225,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
2,850,2,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
1,400,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2,700,2,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
1,600,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2,800,2,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
3,1900,3,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2,650,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1,450,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
2,900,2,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
2,550,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
3,1400,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2,1350,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2,1200,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
2,475,2,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
2,740,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
1,600,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1,380,2,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
2,910,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
2,860,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
1,550,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
2,615,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
2,850,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
2,750,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
1,200,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
2,750,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2,600,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
